"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-0.490195666801881,1.03776554848764,-0.472356851233165,0.636710047843135,-2.52508559251249,1.54469425890873
"hiv_statusPLWH",-0.177901248095691,0.301976558287602,-0.58912270907551,0.555827955864567,-0.770028301412995,0.414225805221614
"age_decade",0.517170065873466,0.153858385875745,3.36133817425545,0.000786390036112938,0.215478725415195,0.818861406331736
"SEXFemale",-1.58898268537997,0.334005286204029,-4.75735789525597,0.00000206399909878038,-2.2439128794119,-0.934052491348033
"race_eth_4catNon-Hispanic Black",2.00110499613182,0.410084212401491,4.87974161310225,0.00000112363910995193,1.1969963670442,2.80521362521945
"race_eth_4catHispanic",1.02098729672603,0.530025150826032,1.92629971452269,0.0541712047854694,-0.0183060594283753,2.06028065288044
"race_eth_4catOther",1.42675960359583,0.842878507830357,1.69272272378666,0.0906229460616877,-0.225988444054749,3.07950765124642
"REGION_factorNortheast (NY)",0.978080052474867,0.509879089118096,1.91825880556621,0.0551829361653133,-0.021710144153801,1.97787024910353
"REGION_factorMid-Atlantic (DC, MD)",-1.73371213537848,0.543656164357873,-3.18898643856308,0.00144397188848471,-2.79973369825895,-0.667690572498003
"REGION_factorSouth (AL, FL, GA, MS, NC)",1.67285411592794,0.494458825820659,3.3832020556039,0.000726614767330472,0.703300554617808,2.64240767723808
"REGION_factorMidwest (IL, OH, PA)",0.792815802662533,0.492967491085786,1.60825169407483,0.107896292387177,-0.173813493111635,1.7594450984367
"ins_3catPrivate",-1.48899514243134,1.29878941596359,-1.14644847280853,0.251710627220522,-4.03571053688187,1.0577202520192
"ins_3catPublic",-2.33092451312227,1.48875138380856,-1.56569091285023,0.117537491118004,-5.25012451664393,0.588275490399389
